n_rows,n_features,pca_components,n_neighbors,explained_variance,orig_knn_accuracy,orig_knn_precision,orig_knn_recall,orig_knn_f1_score,orig_knn_fit_time,orig_knn_predict_time,orig_knn_total_time,orig_kdtree_accuracy,orig_kdtree_precision,orig_kdtree_recall,orig_kdtree_f1_score,orig_kdtree_fit_time,orig_kdtree_predict_time,orig_kdtree_total_time,pca_knn_accuracy,pca_knn_precision,pca_knn_recall,pca_knn_f1_score,pca_knn_fit_time,pca_knn_predict_time,pca_knn_total_time,pca_kdtree_accuracy,pca_kdtree_precision,pca_kdtree_recall,pca_kdtree_f1_score,pca_kdtree_fit_time,pca_kdtree_predict_time,pca_kdtree_total_time,pca_knn_accuracy_diff,pca_kdtree_accuracy_diff,pca_knn_time_improvement,pca_kdtree_time_improvement
1000,5,3,5,0.8007594814087124,0.625,0.609174887823468,0.625,0.6091697473494312,0.0019993782043457,0.2162723541259765,0.2182717323303222,0.65,0.6334136224631638,0.65,0.6354499281890585,0.0025191307067871,0.0360715389251709,0.038590669631958,0.66,0.6428833107191316,0.66,0.6429851942799365,0.0025150775909423,0.0256733894348144,0.0281884670257568,0.635,0.6193175912043979,0.635,0.6190552550647983,0.0020060539245605,0.0588314533233642,0.0608375072479248,0.035,-0.015,0.8708560805157411,-0.5764822903602473
1000,10,3,5,0.4795527535044932,0.65,0.6342166105499438,0.65,0.6388040301492078,0.0035221576690673,0.0275771617889404,0.0310993194580078,0.65,0.6342166105499438,0.65,0.6388040301492078,0.004512071609497,0.0591952800750732,0.0637073516845703,0.665,0.6457747162078846,0.665,0.6517870025578268,0.0009987354278564,0.0299532413482666,0.030951976776123,0.665,0.6457747162078846,0.665,0.6517870025578268,0.0019991397857666,0.0599265098571777,0.0619256496429443,0.015,0.015,0.0047378104875804,0.0279669770366156
1000,10,5,5,0.6893928964311803,0.65,0.6342166105499438,0.65,0.6388040301492078,0.0020079612731933,0.0281181335449218,0.0301260948181152,0.65,0.6342166105499438,0.65,0.6388040301492078,0.0039999485015869,0.0582313537597656,0.0622313022613525,0.665,0.6457747162078846,0.665,0.6517870025578268,0.0025117397308349,0.02608323097229,0.028594970703125,0.665,0.6457747162078846,0.665,0.6517870025578268,0.0019981861114501,0.0557184219360351,0.0577166080474853,0.015,0.015,0.0508238496968929,0.0725469988544807
1000,20,3,5,0.308135130996687,0.645,0.6174502164502165,0.645,0.6291827153661685,0.0030066967010498,0.0275790691375732,0.030585765838623,0.645,0.6174502164502165,0.645,0.6291827153661685,0.0049927234649658,0.0560493469238281,0.0610420703887939,0.625,0.5994166666666666,0.625,0.6084055944055945,0.0015110969543457,0.027125597000122,0.0286366939544677,0.625,0.5994166666666666,0.625,0.6084055944055945,0.0019998550415039,0.0592386722564697,0.0612385272979736,-0.02,-0.02,0.0637248023946494,-0.0032183854172769
1000,20,5,5,0.4303059430293157,0.645,0.6174502164502165,0.645,0.6291827153661685,0.0030007362365722,0.0277211666107177,0.03072190284729,0.645,0.6174502164502165,0.645,0.6291827153661685,0.0025174617767333,0.0635073184967041,0.0660247802734375,0.65,0.6164377742247342,0.65,0.6298756297314329,0.0025146007537841,0.0275712013244628,0.030085802078247,0.65,0.6164377742247342,0.65,0.6298756297314329,0.0019993782043457,0.0942742824554443,0.09627366065979,0.005,0.005,0.020705122732952,-0.4581443552114629
1000,20,10,5,0.6978844864615353,0.645,0.6174502164502165,0.645,0.6291827153661685,0.0020012855529785,0.0280606746673584,0.0300619602203369,0.645,0.6174502164502165,0.645,0.6291827153661685,0.0025038719177246,0.0631697177886962,0.0656735897064209,0.64,0.634771364720906,0.64,0.6272452233756581,0.0016140937805175,0.0255398750305175,0.0271539688110351,0.64,0.634771364720906,0.64,0.6272452233756581,0.0026509761810302,0.0548038482666015,0.0574548244476318,-0.005,-0.005,0.0967332598402715,0.1251456680764553
1000,20,15,5,0.9112537410475552,0.645,0.6174502164502165,0.645,0.6291827153661685,0.0035161972045898,0.0240614414215087,0.0275776386260986,0.645,0.6174502164502165,0.645,0.6291827153661685,0.0039999485015869,0.0533955097198486,0.0573954582214355,0.66,0.6314480480296196,0.66,0.6444696468667075,0.0009973049163818,0.0251116752624511,0.026108980178833,0.66,0.6314480480296196,0.66,0.6444696468667075,0.0025124549865722,0.0548577308654785,0.0573701858520507,0.015,0.015,0.053255409833231,0.0004403200212682
1000,30,3,5,0.2371771797380855,0.64,0.6227524017841826,0.64,0.6240995064125905,0.0020046234130859,0.0255680084228515,0.0275726318359375,0.64,0.6227524017841826,0.64,0.6240995064125905,0.003516674041748,0.0571393966674804,0.0606560707092285,0.59,0.5402873986735446,0.59,0.5621596244131455,0.0020020008087158,0.0230562686920166,0.0250582695007324,0.59,0.5402873986735446,0.59,0.5621596244131455,0.0015103816986083,0.0517194271087646,0.053229808807373,-0.05,-0.05,0.0911905091311566,0.1224322943280531
1000,30,5,5,0.3280112362818328,0.64,0.6227524017841826,0.64,0.6240995064125905,0.0019924640655517,0.0255649089813232,0.027557373046875,0.64,0.6227524017841826,0.64,0.6240995064125905,0.0040221214294433,0.0541341304779052,0.0581562519073486,0.645,0.6228657847127996,0.645,0.6300932937721287,0.0020051002502441,0.0236542224884033,0.0256593227386474,0.645,0.6228657847127996,0.645,0.6300932937721287,0.0040013790130615,0.0504109859466552,0.0544123649597168,0.005,0.005,0.068876315060908,0.0643763451880701
1000,30,10,5,0.5346737378694527,0.64,0.6227524017841826,0.64,0.6240995064125905,0.001011848449707,0.026573896408081,0.027585744857788,0.64,0.6227524017841826,0.64,0.6240995064125905,0.0040078163146972,0.0544886589050293,0.0584964752197265,0.64,0.6219730046948356,0.64,0.6247891414141414,0.0014116764068603,0.0235598087310791,0.0249714851379394,0.64,0.6219730046948356,0.64,0.6247891414141414,0.0020046234130859,0.0539386272430419,0.0559432506561279,0.0,0.0,0.094768502113169,0.0436474942123968
